Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Janvier 2025 - Données brutes
https://statistiques.francetravail.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
La Ciotat 13600; 4 760
La Colle-sur-Loup 06480;  650
La Côte-Saint-André 38260;  530
La Courneuve 93120; 6 040
La Couronne 16400;  930
La Crau 83260; 1 430
La Crèche 79260;  440
La Fare-les-Oliviers 13580;  710
La Farlède 83210;  730
La Ferrière 85280;  390
La Ferté-Bernard 72400; 1 040
La Ferté-Macé 61600;  590
La Ferté-Saint-Aubin 45240;  560
La Ferté-sous-Jouarre 77260; 1 200
La Flèche 72200; 1 540
La Garde 83130; 2 280
La Garenne-Colombes 92250; 2 300
La Garnache 85710;  510
La Gaude 06610;  500
La Gorgue 59253;  530
La Grand-Combe 30110; 1 210
La Grand-Croix 42320;  570
La Grande-Motte 34280; 1 550
La Hague 50440;  680
La Londe-les-Maures 83250; 1 080
La Madeleine 59110; 2 500
La Mézière 35520;  400
La Montagne 44620;  550
La Motte-Servolex 73290;  800
La Mulatière 69350;  750
La Mure 38350;  400
La Penne-sur-Huveaune 13821;  580
La Plaine-des-Palmistes 97431; 1 680
La Possession 97419; 7 480
La Queue-en-Brie 94510;  980
La Ravoire 73490;  840
La Ricamarie 42150; 1 260
La Riche 37520; 1 220
La Rochelle 17000; 11 360
La Roche-sur-Foron 74800;  980
La Roche-sur-Yon 85000; 6 770
La Roque-d'Anthéron 13640;  570
La Roquette-sur-Siagne 06550;  460
La Salvetat-Saint-Gilles 31880;  750
La Seyne-sur-Mer 83500; 7 690
La Souterraine 23300;  650
La Talaudière 42350;  530
La Teste-de-Buch 33260; 2 820
La Tour-du-Pin 38110;  900
La Trinité 06340;  910
La Trinité 97220; 2 180
La Tronche 38700;  460
La Valette-du-Var 83160; 1 980
La Verpillière 38290;  800
La Verrière 78320;  710
La Ville-aux-Dames 37700;  540
La Ville-du-Bois 91620;  680
La Voulte-sur-Rhône 07800;  640
La Wantzenau 67610;  310
Labarthe-sur-Lèze 31860;  680
Labenne 40530;  800
Labruguière 81290;  650
Lacanau 33680;  830
Lacroix-Saint-Ouen 60610;  480
Lagnieu 01150;  660
Lagny-sur-Marne 77400; 2 380
Lagord 17140;  700
L'Aigle 61300; 1 100
Laillé 35890;  420
Lallaing 59167;  850
Lamballe 22400; 1 450
Lambersart 59130; 2 240
Lambesc 13410;  850
Lambres-lez-Douai 59552;  480
Lamentin 97129; 3 280
Lamorlaye 60260;  560
Lançon-Provence 13680;  900
Landerneau 29800; 1 430
Landivisiau 29400;  920
Lanester 56600; 2 610
Laneuveville-devant-Nancy 54410;  660
Langon 33210; 1 080
Langres 52200; 1 030
Langueux 22360;  810
Languidic 56440;  720
Lannemezan 65300;  680
Lannilis 29870;  450
Lannion 22300; 2 110
Lanton 33138;  640
Laon 02000; 4 370
L'Arbresle 69210;  690
Lardy 91510;  370
Larmor-Plage 56260;  520
Lattes 34970; 1 790
Laudun-l'Ardoise 30290;  650
Launaguet 31140; 1 110
Laval 53000; 5 910
Lavaur 81500; 1 200
Lavelanet 09300; 1 000
Laventie 62840;  360
Laxou 54520; 1 470
Le Barcarès 66420; 1 070
Le Barp 33114;  440
Le Beausset 83330;  940
Le Blanc 36300;  580
Le Blanc-Mesnil 93150; 7 900
Le Boulou 66160;  800
Le Bourget 93350; 1 910
Le Bourget-du-Lac 73370;  380
Le Bouscat 33110; 2 420
Le Cannet 06110; 5 180
Le Castellet 83330;  630
Le Cateau-Cambrésis 59360; 1 280
Le Cendre 63670;  370
Le Chambon-Feugerolles 42500; 1 650
Le Chesnay 78150; 2 000
Le Controis-en-Sologne 41700;  760
Le Coteau 42120;  740
Le Crès 34920;  880
Le Creusot 71200; 2 430
Le Diamant 97223; 1 010
Le Fenouiller 85800;  390
Le François 97240; 3 050
Le Gosier 97190; 5 190
Le Grand-Quevilly 76120; 3 160
Le Grau-du-Roi 30240; 1 490
Le Haillan 33185; 1 070
Le Havre 76600; 26 180
Le Kremlin-Bicêtre 94270; 2 850
Le Lamentin 97232; 6 280
Le Lavandou 83980;  940
Le Lion-d'Angers 49220;  380
Le Loroux-Bottereau 44430;  670
Le Lorrain 97214; 1 320
Le Luc 83340; 1 450
Le Mans 72000; 21 440
Le Marin 97290; 1 770
Le Mée-sur-Seine 77350; 2 700
Le Mené 22330;  600
Le Mesnil-Esnard 76240;  620
Le Mesnil-le-Roi 78600;  410
Le Mesnil-Saint-Denis 78320;  470
Le Morne-Rouge 97260;  700
Le Moule 97160; 4 350
Le Muy 83490; 1 140
Le Palais-sur-Vienne 87410;  520
Le Passage 47520;  990
Le Péage-de-Roussillon 38550;  910
Le Pecq 78230; 1 210
Le Pellerin 44640;  500
Le Perray-en-Yvelines 78610;  440
Le Perreux-sur-Marne 94170; 2 920
Le Petit-Quevilly 76140; 3 710
Le Pian-Médoc 33290;  500
Le Plessis-Bouchard 95130;  700
Le Plessis-Robinson 92350; 1 840
Le Plessis-Trévise 94420; 1 860
Le Poinçonnet 36330;  310
Le Poiré-sur-Vie 85170;  650
Le Pont-de-Claix 38800; 1 290
Le Pontet 84130; 2 360
Le Port 97420; 9 480
Le Portel 62480; 1 190
Le Port-Marly 78560;  540
Le Pradet 83220;  870
Le Pré-Saint-Gervais 93310; 2 630
Le Puy-en-Velay 43000; 2 510
Le Puy-Sainte-Réparade 13610;  600
Le Quesnoy 59530;  650
Le Raincy 93340; 1 370
Le Relecq-Kerhuon 29480;  930
Le Rheu 35650;  960
Le Robert 97231; 3 690
Le Rove 13740;  460
Le Soler 66270;  980
Le Taillan-Médoc 33320;  910
Le Tampon 97430; 20 910
Le Teich 33470;  870
Le Teil 07400; 1 210
Le Thor 84250; 1 050
Le Trait 76580;  530
Le Tréport 76470;  600
Le Vauclin 97280; 1 720
Le Versoud 38420;  290
Le Vésinet 78110; 1 070
Leers 59115;  730
Leforest 62790;  750
Lège-Cap-Ferret 33950;  830
Léguevin 31490;  890
Lempdes 63370;  630
Lens 62300; 5 310
Lentilly 69210;  480
Léognan 33850;  860
Les Abrets en Dauphiné 38490;  550
Les Abymes 97139; 11 670
Les Achards 85150;  500
Les Andelys 27700;  980
Les Angles 30133;  850
Les Arcs 83460;  940
Les Avenières 38630;  640
Les Avirons 97425; 2 410
Les Clayes-sous-Bois 78340; 1 300
Les Essarts 85140;  630
Les Essarts-le-Roi 78690;  420
Les Hauts-d'Anjou 49330;  780
Les Herbiers 85500; 1 380
Les Lilas 93260; 2 990
Les Mureaux 78130; 5 880
Les Pavillons-sous-Bois 93320; 2 990
Les Pennes-Mirabeau 13170; 1 680
Les Ponts-de-Cé 49130; 1 300
Les Sables-d'Olonne 85100; 4 270
Les Sorinières 44840;  840
Les Trois-Bassins 97426; 2 130
Les Trois-Îlets 97229; 1 380
Les Ulis 91940; 2 910
Lescar 64230;  820
Lésigny 77150;  460
Lesneven 29260;  660
Lesparre-Médoc 33340;  920
Lesquin 59810;  730
Lestrem 62136;  370
L'Étang-Salé 97427; 3 360
Levallois-Perret 92300; 5 270
Levens 06670;  390
Lèves 28300;  460
Lézignan-Corbières 11200; 1 570
Lezoux 63190;  650
L'Haÿ-les-Roses 94240; 3 160
L'Hôpital 57490;  680
Liancourt 60140;  750
Libercourt 62820; 1 070
Libourne 33500; 3 590
Lieusaint 77127; 1 390
Liévin 62800; 4 150
Liffré 35340;  710
Ligné 44850;  430
L'Île-Saint-Denis 93450; 1 250
Lille 59000; 34 880
Lillebonne 76170; 1 410
Lillers 62190; 1 320
Limay 78520; 2 870
Limeil-Brévannes 94450; 2 810
Limoges 87000; 16 680
Limours 91470;  360
Limoux 11300; 1 480
Linas 91310;  940
Lingolsheim 67380; 2 410
Linselles 59126;  600
Lisieux 14100; 2 560
L'Isle-Adam 95290;  970
L'Isle-d'Abeau 38080; 2 180
L'Isle-d'Espagnac 16340;  550
L'Isle-Jourdain 32600;  860
L'Isle-sur-la-Sorgue 84800; 2 420
Lisses 91090;  670
Livarot-Pays-d'Auge 14140;  540
Liverdun 54460;  410
Livron-sur-Drôme 26250;  940
Livry-Gargan 93190; 5 770
Loches 37600;  700
Locmaria-Plouzané 29280;  290
Lodève 34700; 1 400
Lognes 77185; 1 460
Loire-Authion 49250; 1 220
Loireauxence 44370;  640
Loison-sous-Lens 62218;  620
Longjumeau 91160; 2 270
Longpont-sur-Orge 91310;  600
Longueau 80330;  630
Longué-Jumelles 49160;  830
Longuenée-en-Anjou 49220;  480
Longuenesse 62219; 1 200
Longuyon 54260;  480
Longvic 21600; 1 000
Longwy 54400; 1 890
Lons 64140; 1 320
Lons-le-Saunier 39000; 2 010
Loon-Plage 59279;  590
Loos 59120; 2 760
Loos-en-Gohelle 62750;  740
Lorgues 83510; 1 030
Lorient 56100; 7 400
Loriol-sur-Drôme 26270;  800
Lormont 33310; 4 030
Loudéac 22600; 1 050
Loudun 86200;  790
Louhans 71500;  680
Lourdes 65100; 2 610
Louveciennes 78430;  530
Louviers 27400; 2 790
Louvres 95380; 1 280
Louvroil 59720; 1 210
Lucciana 20290;  820
Lucé 28110; 2 290
Luc-la-Primaube 12450;  370
Luçon 85400;  960
Ludon-Médoc 33290;  410
Ludres 54710;  360
Luisant 28600;  570
Lunel 34400; 4 450
Lunéville 54300; 2 800
L'Union 31240; 1 120
Lure 70200; 1 100
Lutterbach 68460;  610
Luxeuil-les-Bains 70300;  880
Luynes 37230;  370
Lyon 69000; 60 930
Lys-Haut-Layon 49310;  720
Lys-lez-Lannoy 59390; 1 560
Mably 42300;  720
Machecoul 44270;  870
Mâcon 71870; 5 370
Macouria 97355; 2 610
Maen Roch 35460;  430
Magnanville 78200;  600
Magny-en-Vexin 95420;  610
Magny-le-Hongre 77700;  670
Magny-les-Hameaux 78114;  670
Mainvilliers 28300; 1 360
Maisons-Alfort 94700; 4 920
Maisons-Laffitte 78600; 1 700
Maizières-lès-Metz 57210; 1 190
Malakoff 92240; 3 110
Malaunay 76770;  640
Malemort-sur-Corrèze 19360;  710
Malesherbes 45330;  850
Mallemort 13370;  750
Malzéville 54220;  850
Mamers 72600;  560
Mana 97360; 1 190
Mandelieu-la-Napoule 06210; 2 690
Manduel 30129;  630
Manosque 04100; 3 190
Mantes-la-Jolie 78200; 7 770
Mantes-la-Ville 78200; 3 290
Marange-Silvange 57159;  480
Marcheprime 33380;  500
Marck 62730;  980
Marcoussis 91460;  640
Marcq-en-Baroeul 59700; 3 270
Marennes 17320;  630
Margny-lès-Compiègne 60280;  950
Marguerittes 30320;  890
Marignane 13700; 4 110
Marignier 74970;  540
Maripasoula 97370;  800
Marles-les-Mines 62540;  720
Marly 57157;  650
Marly 59770; 1 610
Marly-la-Ville 95670;  460
Marly-le-Roi 78160; 1 110
Marmande 47200; 2 320
Marnaz 74460;  570
Marolles-en-Hurepoix 91630;  340
Maromme 76150; 1 860
Marquette-lez-Lille 59520; 1 210
Marquise 62250;  530
Marsannay-la-Côte 21160;  420
Marseillan 34340; 1 380
Marseille 13000; 129 990
Marsillargues 34590;  950
Martignas-sur-Jalle 33127;  600
Martigues 13500; 6 430
Massy 91300; 5 490
Matoury 97351; 5 250
Maubeuge 59600; 5 090
Mauges-sur-Loire 49620; 1 360
Mauguio 34130; 2 220
Maule 78580;  420
Mauléon 79700;  600
Maurepas 78310; 1 770
Maxéville 54320; 1 480
Mayenne 53100; 1 130
Mazamet 81200; 1 500
Mazan 84380;  650
Mazé-Milon 49250;  470
Mazingarbe 62670; 1 090
Meaux 77100; 7 500
Mehun-sur-Yèvre 18500;  550
Melesse 35520;  580
Melle 79500;  530
Melun 77000; 6 320
Mende 48000; 1 010
Mennecy 91540; 1 280
Menton 06500; 3 280
Menucourt 95180;  450
Mer 41500;  680
Méricourt 62680; 1 440
Mériel 95630;  370
Mérignac 33700; 7 710
Méru 60110; 1 920
Merville 59660; 1 060
Merville 31330;  710
Méry-sur-Oise 95540;  860
Mesnils-sur-Iton 27240;  520
Metz 57000; 15 640
Meudon 92190; 3 880
Meulan-en-Yvelines 78250; 1 180
Meung-sur-Loire 45130;  580
Meximieux 01800;  650
Meylan 38240; 1 210
Meyreuil 13590;  590
Meyzieu 69330; 3 570
Mèze 34140; 1 270
Mézidon Vallée d'Auge 14270;  890
Migennes 89400; 1 110
Mignaloux-Beauvoir 86550;  300
Migné-Auxances 86440;  500
Milhaud 30540;  770
Millau 12100; 2 570
Mimizan 40200; 1 130
Mions 69780; 1 190
Mios 33380; 1 030
Miramas 13140; 3 900
Mirecourt 88500;  610
Miribel 01700;  810
Missillac 44780;  440
Mitry-Mory 77290; 2 050
Moëlan-sur-Mer 29350;  560
Moirans 38430;  690
Moissac 82200; 2 820
Moissy-Cramayel 77550; 2 040
Molsheim 67120;  880
Moncoutant-sur-Sèvre 79320;  350
Mondelange 57300;  550
Mondeville 14120; 1 340
Mondonville 31700;  790
Monistrol-sur-Loire 43120;  760
Mons-en-Baroeul 59370; 2 670
Montaigu 85600; 1 380
Montargis 45200; 2 950
Montataire 60160; 1 870
Montauban 82000; 8 450
Montauban-de-Bretagne 35360;  440
Montauroux 83440;  620
Montbard 21500;  590
Montbéliard 25200; 4 280
Montbonnot-Saint-Martin 38330;  330
Montbrison 42600; 1 650
Montceau-les-Mines 71300; 2 270
Montchanin 71210;  520
Mont-de-Marsan 40000; 3 370
Montdidier 80500;  840
Montech 82700;  690
Montélimar 26200; 5 390
Montereau-Fault-Yonne 77130; 3 380
Montesson 78360; 1 140
Monteux 84170; 1 810
Montévrain 77144; 1 270
Montfermeil 93370; 3 700
Montfort-sur-Meu 35160;  510
Montgeron 91230; 2 240
Montigny-en-Gohelle 62640; 1 190
Montigny-le-Bretonneux 78180; 2 400
Montigny-lès-Cormeilles 95370; 2 460
Montigny-lès-Metz 57158; 2 460
Montivilliers 76290; 1 460
Montlhéry 91310;  900
Montlouis-sur-Loire 37270;  960
Montluçon 03100; 5 050
Montluel 01120;  680
Montmagny 95360; 1 670
Montmorency 95160; 1 960
Montmorillon 86500;  610
Montoir-de-Bretagne 44550;  680
Montpellier 34000; 49 940
Montpon-Ménestérol 24700;  720
Montreuil 93100; 18 870
Montreuil-Juigné 49460;  630
Montrevault-sur-Èvre 49110; 1 180
Montrond-les-Bains 42210;  410
Montrouge 92120; 4 210
Monts 37260;  530
Mont-Saint-Aignan 76130; 1 430
Mont-Saint-Martin 54350; 1 020
Montval-sur-Loir 72500;  760
Morangis 91420; 1 220
Morcenx-la-Nouvelle 40110;  480
Mordelles 35310;  650
Morières-lès-Avignon 84310;  930
Morlaix 29600; 2 170
Mormant 77720;  450
Mornant 69440;  380
Morne-à-l'Eau 97111; 3 280
Morsang-sur-Orge 91390; 2 040
Mortagne-sur-Sèvre 85290;  460
Morteau 25500;  690
Mouans-Sartoux 06370;  900
Mougins 06250; 1 870
Mouguerre 64990;  440
Mouilleron-le-Captif 85000;  340
Moulins 03000; 2 890
Moulins-lès-Metz 57160;  470
Mourenx 64150;  780
Mourmelon-le-Grand 51400;  330
Mouroux 77120;  480
Mouvaux 59420; 1 040
Mouy 60250;  620
Moyeuvre-Grande 57250;  880
Mulhouse 68100; 18 920
Mulsanne 72230;  410
Mundolsheim 67450;  420
Muret 31600; 3 380
Mûrs-Erigné 49130;  520
Mutzig 67190;  540
Muzillac 56190;  380
Naintré 86530;  550
Nancy 54000; 13 610
Nandy 77176;  650
Nangis 77370;  990
Nans-les-Pins 83860;  400
Nanterre 92000; 11 980
Nantes 44000; 41 080
Nanteuil-lès-Meaux 77100;  610
Narbonne 11100; 9 300
Nègrepelisse 82800;  580
Nemours 77140; 1 770
Nérac 47600;  760
Neufchâteau 88300;  880
Neuilly-Plaisance 93360; 2 180
Neuilly-sur-Marne 93330; 4 680
Neuilly-sur-Seine 92200; 3 740
Neuves-Maisons 54230;  660
Neuville-aux-Bois 45170;  370
Neuville-de-Poitou 86170;  470
Neuville-en-Ferrain 59960;  660
Neuville-sur-Saône 69250;  790
Nevers 58000; 4 190
Nice 06000; 41 570
Nieppe 59850;  660
Nieul-sur-Mer 17137;  480
Nîmes 30000; 23 840
Niort 79000; 6 520
Noeux-les-Mines 62290; 1 550
Nogent-le-Rotrou 28400; 1 190
Nogent-sur-Marne 94130; 2 730
Nogent-sur-Oise 60180; 2 920
Nogent-sur-Seine 10400;  610
Noisiel 77186; 1 950
Noisy-le-Grand 93160; 8 360
Noisy-le-Roi 78590;  450
Noisy-le-Sec 93130; 6 420
Nort-sur-Erdre 44390;  710
Notre-Dame-de-Bondeville 76960;  770
Notre-Dame-de-Gravenchon 76330; 1 050
Nouzonville 08700;  800
Noves 13550;  700
Noyal-Châtillon-sur-Seiche 35230;  880
Noyal-sur-Vilaine 35530;  470
Noyant-Villages 49490;  720
Noyelles-Godault 62950;  800
Noyelles-sous-Lens 62221;  900
Noyon 60400; 2 090
Nueil-les-Aubiers 79250;  420
Nuits-Saint-Georges 21700;  440
Nyons 26110;  830
Oberhausbergen 67205;  500
Obernai 67210; 1 100
Octeville-sur-Mer 76930;  360
Oignies 62590; 1 310
Oissel 76350; 1 510
Olivet 45160; 1 680
Ollainville 91290;  430
Ollioules 83190; 1 400
Oloron-Sainte-Marie 64400; 1 390
Ombrée d'Anjou 49420;  950
Ondres 40440;  740
Onet-le-Château 12850; 1 060
Onnaing 59264; 1 220
Oraison 04700;  610
Orange 84100; 4 070
Orchies 59310;  980
Orée d'Anjou 49270; 1 320
Orgères 35230;  530
Orgeval 78630;  470
Orléans 45000; 15 680
Orly 94310; 2 940
Ormesson-sur-Marne 94490;  710
Orsay 91400; 1 070
Orthez 64300; 1 140
Orvanne 77250;  930
Orvault 44700; 2 260
Osny 95520; 1 740
Ostricourt 59162;  800
Ostwald 67540; 1 700
Othis 77280;  540
Ouistreham 14150;  860
Oullins 69600; 3 290
Outreau 62230; 1 430
Oye-Plage 62215;  500
Oyonnax 01100; 3 220
Ozoir-la-Ferrière 77330; 1 850
Pacé 35740;  920
Pacy-sur-Eure 27120;  560
Paimpol 22500;  700
Palaiseau 91120; 2 870
Palavas-les-Flots 34250;  970
Pamiers 09100; 2 330
Panazol 87350;  820
Pantin 93500; 9 260
Papaichton 97316;  270
Paray-le-Monial 71600;  800
Paray-Vieille-Poste 91550;  650
Parempuyre 33290; 1 040
Parentis-en-Born 40160;  920
Parigné-l'Évêque 72250;  310
Paris 75000; 246 510
Parmain 95620;  360
Parthenay 79200; 1 030
Passy 74190;  820
Pau 64000; 10 180
Pauillac 33250;  800
Pavilly 76570; 1 020
Pecquencourt 59146; 1 040
Pégomas 06580;  700
Pélissanne 13330; 1 020
Penmarch 29760;  520
Pérenchies 59840;  670
Périgny 17180;  830
Périgueux 24000; 4 190
Pernes-les-Fontaines 84210; 1 080
Pérols 34470; 1 200
Péronnas 01960;  550
Péronne 80200; 1 170
Perpignan 66000; 25 430
Perros-Guirec 22700;  630
Persan 95340; 1 790
Pertuis 84120; 2 520
Pessac 33600; 5 750
Petit-Bourg 97170; 3 870
Petit-Canal 97131; 1 450
Petit-Caux 76370;  730
Petit-Couronne 76650; 1 100
Petite-Forêt 59494;  590
Petite-Île 97429; 2 910
Petite-Rosselle 57540;  710
Peymeinade 06530;  800
Peypin 13124;  450
Peyrolles-en-Provence 13860;  560
Pézenas 34120; 1 460
Pfastatt 68120; 1 020
Pia 66380; 1 790
Pibrac 31820;  700
Pierre-Bénite 69310;  630
Pierrefeu-du-Var 83390;  490
Pierrefitte-sur-Seine 93380; 4 570
Pierrelatte 26700; 1 800
Pierrelaye 95480; 1 080
Pignan 34570;  820
Piolenc 84420;  640
Pithiviers 45300; 1 360
Plabennec 29860;  620
Plaisance-du-Touch 31830; 2 070
Plaisir 78370; 2 910
Plan-de-Cuques 13380;  780
Plédran 22960;  510
Plérin 22190; 1 210
Plescop 56890;  660
Plessé 44630;  540
Pleurtuit 35730;  670
Ploemeur 56270; 1 270
Ploeren 56880;  540
Ploërmel 56800;  910
Plonéour-Lanvern 29720;  600
Plouay 56240;  440
Ploudalmézeau 29830;  420
Ploufragan 22440; 1 180
Plougastel-Daoulas 29470; 1 050
Plouguerneau 29880;  610
Plouhinec 56680;  510
Plouigneau 29610;  380
Ploumagoar 22970;  430
Plouzané 29280;  870
Pluneret 56400;  590
Pluvigner 56330;  660
Pointe-à-Pitre 97110; 3 620
Pointe-Noire 97116; 1 220
Poissy 78300; 4 530
Poisy 74330;  910
Poitiers 86000; 11 940
Pollestres 66450;  680
Pont-à-Mousson 54700; 1 610
Pontarlier 25300; 2 080
Pont-Audemer 27500; 1 450
Pontault-Combault 77340; 3 560
Pontcharra 38530;  690
Pontchâteau 44160;  940
Pont-de-Chéruy 38230;  660
Pont-du-Château 63430;  960
Pont-Évêque 38780;  670
Pontivy 56300; 1 380
Pont-l'Abbé 29120;  840
Pont-l'Évêque 14130;  460
Pontoise 95000; 3 640
Pont-Sainte-Marie 10150;  660
Pont-Sainte-Maxence 60700; 1 510
Pont-Saint-Esprit 30130; 1 460
Pont-Saint-Martin 44860;  500
Pordic 22590;  570
Pornic 44210; 1 450
Pornichet 44380; 1 090
Port-de-Bouc 13110; 3 230
Portes-lès-Valence 26800; 1 070
Portet-sur-Garonne 31120; 1 100
Port-la-Nouvelle 11210;  930
Port-Louis 97117; 1 230
Porto-Vecchio 20137; 2 120
Port-Saint-Louis-du-Rhône 13230; 1 090
Pourrières 83910;  430
Poussan 34560;  750
Pouzauges 85700;  460
Prades 66500; 1 050
Prades-le-Lez 34730;  570
Prévessin-Moëns 01280;  650
Privas 07000; 1 080
Provins 77160; 1 570
Publier 74500;  790
Puget-sur-Argens 83480; 1 180
Puilboreau 17138;  570
Pulnoy 54420;  400
Puteaux 92800; 4 010
Quesnoy-sur-Deûle 59890;  550
Questembert 56230;  720
Quetigny 21800; 1 000
Quéven 56530;  720
Quiévrechain 59920;  930
Quimper 29000; 7 350
Quimperlé 29300; 1 390
Quincy-sous-Sénart 91480;  960
Quincy-Voisins 77860;  390
Quint-Fonsegrives 31130;  460
Rabastens 81800;  740
Raismes 59590; 1 990
Rambervillers 88700;  690
Rambouillet 78120; 2 080
Ramonville-Saint-Agne 31520; 1 760
Raon-l'Étape 88110; 1 000
Redon 35600; 1 230
Reichshoffen 67110;  500
Reignier-Ésery 74930;  730
Reims 51100; 25 220
Remiremont 88200;  930
Remire-Montjoly 97354; 2 310
Rennes 35000; 31 670
Rethel 08300;  890
Revel 31250; 1 200
Revin 08500;  940
Reyrieux 01600;  380
Rezé 44400; 4 980
Riantec 56670;  540
Riedisheim 68400; 1 110
Rillieux-la-Pape 69140; 3 840
Riom 63200; 2 150
Riorges 42153; 1 050
Ris-Orangis 91130; 3 730
Rive-de-Gier 42800; 1 930
Rives 38140;  590
Rivesaltes 66600; 1 530
Rives-du-Loir-en-Anjou 49140;  370
Rivière-Pilote 97211; 2 230
Rivière-Salée 97215; 2 210
Rixheim 68170; 1 400
Roanne 42300; 5 080
Rocbaron 83136;  520
Rochefort 17300; 3 460
Rochefort-du-Gard 30650;  710
Roche-la-Molière 42230;  920
Rodez 12000; 2 450
Rognac 13340; 1 190
Roissy-en-Brie 77680; 2 110
Romagnat 63540;  570
Romainville 93230; 4 940
Romans-sur-Isère 26100; 4 780
Rombas 57120; 1 080
Romilly-sur-Seine 10100; 2 360
Romorantin-Lanthenay 41200; 2 470
Ronchin 59790; 2 400
Roncq 59223; 1 110
Roost-Warendin 59286;  640
Roquebrune-Cap-Martin 06190; 1 200
Roquebrune-sur-Argens 83520; 1 920
Roquefort-la-Bédoule 13830;  470
Roquefort-les-Pins 06330;  500
Roquemaure 30150;  700
Roques 31120;  630
Roquevaire 13360;  890
Rosheim 67560;  350
Rosières-près-Troyes 10430;  360
Rosny-sous-Bois 93110; 6 550
Rosny-sur-Seine 78710;  920
Rosporden 29140;  710
Roubaix 59100; 20 110
Rouen 76000; 17 210
Rousset 13790;  610
Roussillon 38150;  970
Rouvroy 62320; 1 180
Royan 17200; 2 370
Roye 80700;  860
Rueil-Malmaison 92500; 6 600
Ruelle-sur-Touvre 16600;  790
Rumilly 74150; 1 520
Rungis 94150;  410
Sablé-sur-Sarthe 72300; 1 520
Sainghin-en-Weppes 59184;  360
Sains-en-Gohelle 62114;  680
Saint-Affrique 12400;  750
Saint-Alban 31140;  790
Saint-Alban-Leysse 73230;  570
Saint-Amand-les-Eaux 59230; 1 850
Saint-Amand-Montrond 18200; 1 080
Saint-André 97440; 13 480
Saint-André-de-Cubzac 33240; 1 540
Saint-André-de-la-Roche 06730;  430
Saint-André-de-Sangonis 34725;  810
Saint-André-des-Eaux 44117;  500
Saint-André-les-Vergers 10120; 1 450
Saint-André-lez-Lille 59350; 1 250
Saint-Apollinaire 21850;  590
Saint-Arnoult-en-Yvelines 78730;  350
Saint-Astier 24110;  560
Saint-Aubin-de-Médoc 33160;  570
Saint-Aubin-lès-Elbeuf 76410; 1 010
Saint-Avé 56890;  940
Saint-Avertin 37550; 1 080
Saint-Avold 57500; 2 060
Saint-Barthélemy-d'Anjou 49124; 1 080
Saint-Benoît 86280;  570
Saint-Benoît 97470; 10 140
Saint-Berthevin 53940;  560
Saint-Bonnet-de-Mure 69720;  410
Saint-Brevin-les-Pins 44250; 1 110
Saint-Brice-sous-Forêt 95350; 1 460
Saint-Brieuc 22000; 6 630
Saint-Cannat 13760;  570
Saint-Chamas 13250;  870
Saint-Chamond 42400; 4 390
Saint-Chéron 91530;  410
Saint-Christol-lès-Alès 30380;  930
Saint-Claude 39200; 1 040
Saint-Claude 97120; 1 290
Saint-Clément-de-Rivière 34980;  330
Saint-Cloud 92210; 1 990
Saint-Cyprien 66750; 1 830
Saint-Cyr-au-Mont-d'Or 69450;  480
Saint-Cyr-l'École 78210; 1 920
Saint-Cyr-sur-Loire 37540; 1 460
Saint-Cyr-sur-Mer 83270; 1 200
Saint-Denis 93200; 17 520
Saint-Denis 97400; 33 800
Saint-Denis-de-Pile 33910;  750
Saint-Denis-en-Val 45560;  520
Saint-Denis-lès-Bourg 01000;  450
Saint-Didier-au-Mont-d'Or 69370;  430
Saint-Dié-des-Vosges 88100; 3 170
Saint-Dizier 52100; 3 220
Saint-Doulchard 18230;  620
Sainte-Adresse 76310;  470
Sainte-Anne 97180; 4 430
Sainte-Eulalie 33560;  460
Sainte-Foy-lès-Lyon 69110; 1 730
Sainte-Geneviève-des-Bois 91700; 3 740
Saint-Égrève 38120; 1 380
Sainte-Livrade-sur-Lot 47110;  900
Sainte-Luce 97228; 1 540
Sainte-Luce-sur-Loire 44980; 1 300
Sainte-Marie 97230; 3 110
Sainte-Marie 97438; 7 580
Sainte-Marie-aux-Mines 68160;  480
Sainte-Maxime 83120; 1 860
Sainte-Pazanne 44680;  540
Sainte-Rose 97115; 3 740
Sainte-Rose 97439; 1 860
Saintes 17100; 3 190
Sainte-Savine 10300; 1 290
Sainte-Sigolène 43600;  550
Sainte-Soulle 17220;  450
Saint-Esprit 97270; 1 510
Saint-Estève 66240; 1 280
Sainte-Suzanne 97441; 5 480
Saint-Étienne 42000; 24 810
Saint-Étienne-au-Mont 62360;  500
Saint-Étienne-de-Montluc 44360;  520
Saint-Étienne-du-Rouvray 76800; 4 190
Saint-Fargeau-Ponthierry 77310; 1 430
Saint-Florent-sur-Cher 18400;  590
Saint-Flour 15100;  600
Saint-Fons 69190; 3 070
Saint-François 97118; 3 230
Saint-Galmier 42330;  430
Saint-Gaudens 31800; 1 830
Saint-Gély-du-Fesc 34980;  680
Saint-Genest-Lerpt 42530;  500
Saint-Genis-Laval 69230; 1 600
Saint-Genis-les-Ollières 69290;  350
Saint-Genis-Pouilly 01630; 1 170
Saint-Georges-de-Didonne 17110;  480
