Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Janvier 2025 - Données brutes
https://statistiques.francetravail.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Blainville-sur-Orne 14550;  680
Blanquefort 33290; 1 670
Blanzy 71450;  530
Blaye 33390;  810
Blendecques 62575;  470
Bléré 37150;  540
Blois 41000; 6 850
Blotzheim 68730;  420
Bobigny 93000; 8 240
Boé 47550;  510
Bogny-sur-Meuse 08120;  700
Bohain-en-Vermandois 02110; 1 110
Bois-Colombes 92270; 2 410
Bois-d'Arcy 78390; 1 040
Bois-Guillaume 76230;  890
Bois-le-Roi 77590;  390
Boissy-Saint-Léger 94470; 1 970
Bolbec 76210; 1 700
Bollène 84500; 2 020
Bompas 66430; 1 050
Bonchamp-lès-Laval 53960;  340
Bondoufle 91070;  880
Bondues 59910;  690
Bondy 93140; 8 290
Bon-Encontre 47240;  590
Bonneuil-sur-Marne 94380; 2 360
Bonneville 74130; 1 380
Bonnières-sur-Seine 78270;  700
Bonsecours 76240;  510
Bons-en-Chablais 74890;  530
Bordeaux 33000; 37 710
Bordères-sur-l'Échez 65320;  550
Borgo 20290;  800
Bormes-les-Mimosas 83230; 1 090
Bouaye 44830;  630
Boucau 64340; 1 100
Bouc-Bel-Air 13320; 1 260
Bouchemaine 49080;  460
Bouffémont 95570;  510
Bougival 78380;  740
Bouguenais 44340; 2 310
Bouillante 97125; 1 500
Bouillargues 30230;  530
Boulay-Moselle 57220;  470
Boulazac 24750;  920
Boulogne-Billancourt 92100; 9 540
Boulogne-sur-Mer 62200; 6 040
Bourbon-Lancy 71140;  410
Bourbourg 59630;  870
Bourg-de-Péage 26300; 1 350
Bourg-en-Bresse 01000; 5 500
Bourges 18000; 8 320
Bourg-la-Reine 92340; 1 500
Bourg-lès-Valence 26500; 2 430
Bourgoin-Jallieu 38300; 3 630
Bourg-Saint-Andéol 07700; 1 060
Bourg-Saint-Maurice 73700;  690
Boussy-Saint-Antoine 91800;  730
Bras-Panon 97412; 3 080
Bréal-sous-Montfort 35310;  440
